unixtime,open,high,low,close,volume,label
1733040000000,96525.4,97250.0,96480.0,97163.7,21533.374,0.0
1733054400000,97163.7,97481.3,96705.3,97081.4,20941.01,0.0
1733068800000,97081.5,97632.8,97029.5,97242.0,15616.016,0.0
1733083200000,97242.1,97933.0,96852.7,97265.1,19846.895,0.0
1733097600000,97265.0,98266.0,96402.5,96549.8,29835.063,0.0
1733112000000,96549.9,97000.0,95788.4,96053.6,39372.545,0.0
1733126400000,96053.5,96177.9,94887.0,95191.3,43471.871,0.0
1733140800000,95191.4,97286.2,94826.0,97106.5,60495.623,0.0
1733155200000,97106.6,97435.0,94400.0,95873.9,63080.969,0.0
1733169600000,95873.9,96389.9,95171.5,95890.5,21357.84,0.0
1733184000000,95890.6,96375.0,95463.6,96136.8,18629.132,0.0
1733198400000,96136.8,96324.9,95336.3,95608.8,17487.71,0.0
1733212800000,95608.8,95739.8,94661.3,95045.8,25645.596,1.0
1733227200000,95045.9,96315.5,93605.0,95743.7,85647.457,1.0
1733241600000,95744.7,96236.3,94925.8,95512.7,38288.732,1.0
1733256000000,95512.6,96200.0,95337.2,95913.3,20903.353,1.0
1733270400000,95913.3,96740.0,95271.6,95852.0,27822.359,1.0
1733284800000,95852.1,96799.9,95783.5,96652.1,18405.832,1.0
1733299200000,96652.2,97041.1,96239.7,96270.0,20925.907,1.0
1733313600000,96270.1,96634.6,95398.1,95813.0,54479.082,1.0
1733328000000,95813.0,97310.3,94650.8,97283.4,67941.454,1.0
1733342400000,97283.4,99099.9,97189.3,98669.8,86374.571,0.0
1733356800000,98669.8,104630.4,97970.5,103084.8,155798.412,-1.0
1733371200000,103084.7,103696.7,101359.8,102292.1,69178.653,-1.0
1733385600000,102292.1,103228.9,102290.3,102668.2,31253.697,-1.0
1733400000000,102668.2,103661.7,100932.6,101350.1,82540.521,0.0
1733414400000,101350.1,102063.8,98704.6,99111.6,78445.371,0.0
1733428800000,99111.5,99542.9,90200.0,97001.5,163060.737,0.0
1733443200000,97001.6,98858.6,96429.5,97802.7,54871.518,0.0
1733457600000,97802.7,98356.6,97422.8,98209.6,23490.73,0.0
1733472000000,98209.7,98765.4,97705.2,98127.4,34097.618,0.0
1733486400000,98127.4,99592.1,97550.0,99358.5,67051.277,0.0
1733500800000,99358.5,101900.0,98800.0,101532.6,67789.279,0.0
1733515200000,101532.6,101988.8,99111.0,99802.5,35069.186,0.0
1733529600000,99802.5,100499.0,99361.0,99383.0,19615.533,0.0
1733544000000,99383.0,99741.0,98876.9,99442.6,21001.06,0.0
1733558400000,99442.6,99895.3,99314.8,99660.4,12084.542,0.0
1733572800000,99660.3,99890.0,99101.7,99811.4,15668.723,0.0
1733587200000,99811.5,100336.8,99528.0,100140.6,15477.404,0.0
1733601600000,100140.7,100497.5,99655.0,99899.2,12011.396,0.0
1733616000000,99899.2,100415.0,99686.4,99996.7,10362.305,0.0
1733630400000,99996.7,100100.0,99388.5,99741.5,11720.725,0.0
1733644800000,99741.6,99898.0,98709.4,99755.3,24081.257,0.0
1733659200000,99755.2,100597.5,99409.3,99975.0,29860.114,0.0
1733673600000,99974.9,100272.2,99538.4,100182.3,14904.59,0.0
1733688000000,100182.4,101457.9,99800.0,101200.0,18826.685,-1.0
1733702400000,101200.1,101300.0,98500.1,99180.0,41149.178,0.0
1733716800000,99179.9,99798.1,98374.3,99637.1,29272.885,0.0
1733731200000,99637.2,99757.5,98112.0,98157.4,37959.165,0.0
1733745600000,98157.5,100481.3,97555.0,97856.0,78567.275,0.0
1733760000000,97856.1,98448.5,97029.5,97126.8,42609.82,0.0
1733774400000,97126.8,97627.3,94039.7,97349.1,97415.267,0.0
1733788800000,97349.1,98197.8,95591.9,96958.0,47046.703,0.0
1733803200000,96957.9,97540.8,95923.8,97217.7,28323.888,0.0
1733817600000,97217.7,97948.0,96961.1,97745.8,20244.349,0.0
1733832000000,97745.7,98320.6,95639.5,95687.9,69046.59,1.0
1733846400000,95674.8,96566.8,94265.5,95862.9,98509.952,1.0
1733860800000,95862.9,97238.9,95621.1,96602.4,28319.262,1.0
1733875200000,96602.3,97643.0,95650.0,97406.8,37997.227,0.0
1733889600000,97406.9,97800.0,97185.7,97337.9,14407.389,0.0
1733904000000,97337.9,98499.9,97310.6,98289.7,24609.143,0.0
1733918400000,98289.7,100798.6,98047.5,100352.7,66071.763,0.0
1733932800000,100352.7,101136.6,99583.4,101094.1,50125.706,0.0
1733947200000,101094.2,101880.0,100844.6,101115.3,28596.477,0.0
1733961600000,101115.3,101812.3,100309.8,101000.0,27234.965,0.0
1733976000000,101000.0,101162.1,100359.6,100481.6,17652.59,0.0
1733990400000,100481.5,101122.4,100150.0,100339.8,20809.1,0.0
1734004800000,100339.8,101850.0,100336.3,101775.1,56891.436,0.0
1734019200000,101775.1,102538.4,99280.2,99455.1,64519.39,0.0
1734033600000,99455.1,100461.5,99428.6,99982.4,28111.594,0.0
1734048000000,99982.3,100333.0,99149.6,99690.6,21321.108,0.0
1734062400000,99690.6,100215.0,99446.4,100100.0,15814.867,0.0
1734076800000,100099.9,100770.0,99863.5,100331.3,17660.896,0.0
1734091200000,100331.3,101339.0,99653.6,99831.0,38171.736,0.0
1734105600000,99831.0,101869.5,99750.0,101416.0,45302.268,0.0
1734120000000,101416.1,101822.4,101028.7,101371.9,14166.443,0.0
1734134400000,101371.9,102638.0,101106.1,102040.7,30294.884,0.0
1734148800000,102040.7,102113.6,101557.8,101787.0,12566.304,0.0
1734163200000,101787.0,101840.2,101298.4,101562.7,9813.394,0.0
1734177600000,101562.6,101729.2,100777.0,101601.9,26386.649,0.0
1734192000000,101601.9,101716.3,100806.0,101293.0,17681.995,0.0
