[22:06:55] [DEBUG] Using proactor: IocpProactor
[22:08:05] [INFO] {'e': 'trade', 'E': 1758373685840, 's': 'BTCUSDT', 't': 5245488098, 'p': '115868.90000000', 'q': '0.00034000', 'T': 1758373685840, 'm': True, 'M': True}
[22:08:05] [INFO] {'e': 'trade', 'E': 1758373685875, 's': 'BTCUSDT', 't': 5245488099, 'p': '115868.91000000', 'q': '0.00029000', 'T': 1758373685875, 'm': False, 'M': True}
[22:08:07] [INFO] {'e': 'trade', 'E': 1758373687416, 's': 'BTCUSDT', 't': 5245488104, 'p': '115868.91000000', 'q': '0.00129000', 'T': 1758373687415, 'm': False, 'M': True}
[22:08:08] [INFO] {'e': 'trade', 'E': 1758373688190, 's': 'BTCUSDT', 't': 5245488107, 'p': '115868.90000000', 'q': '0.00017000', 'T': 1758373688189, 'm': True, 'M': True}
[22:08:09] [INFO] {'e': 'trade', 'E': 1758373689705, 's': 'BTCUSDT', 't': 5245488110, 'p': '115868.90000000', 'q': '0.00107000', 'T': 1758373689704, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690109, 's': 'BTCUSDT', 't': 5245488112, 'p': '115868.91000000', 'q': '0.00259000', 'T': 1758373690109, 'm': False, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690165, 's': 'BTCUSDT', 't': 5245488113, 'p': '115868.90000000', 'q': '0.03074000', 'T': 1758373690160, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690165, 's': 'BTCUSDT', 't': 5245488114, 'p': '115868.90000000', 'q': '0.03107000', 'T': 1758373690160, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690171, 's': 'BTCUSDT', 't': 5245488115, 'p': '115868.90000000', 'q': '0.00427000', 'T': 1758373690165, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690171, 's': 'BTCUSDT', 't': 5245488116, 'p': '115868.90000000', 'q': '0.00070000', 'T': 1758373690165, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690171, 's': 'BTCUSDT', 't': 5245488117, 'p': '115868.90000000', 'q': '0.00070000', 'T': 1758373690165, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690171, 's': 'BTCUSDT', 't': 5245488118, 'p': '115868.90000000', 'q': '0.00070000', 'T': 1758373690165, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690171, 's': 'BTCUSDT', 't': 5245488119, 'p': '115868.90000000', 'q': '0.00020000', 'T': 1758373690165, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690171, 's': 'BTCUSDT', 't': 5245488120, 'p': '115868.90000000', 'q': '0.00264000', 'T': 1758373690165, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690171, 's': 'BTCUSDT', 't': 5245488121, 'p': '115868.90000000', 'q': '0.00144000', 'T': 1758373690165, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690171, 's': 'BTCUSDT', 't': 5245488122, 'p': '115868.90000000', 'q': '0.00035000', 'T': 1758373690165, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690173, 's': 'BTCUSDT', 't': 5245488123, 'p': '115868.90000000', 'q': '0.00263000', 'T': 1758373690167, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690173, 's': 'BTCUSDT', 't': 5245488124, 'p': '115868.90000000', 'q': '0.02488000', 'T': 1758373690167, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690173, 's': 'BTCUSDT', 't': 5245488125, 'p': '115868.90000000', 'q': '0.00249000', 'T': 1758373690167, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690173, 's': 'BTCUSDT', 't': 5245488126, 'p': '115868.90000000', 'q': '0.00430000', 'T': 1758373690168, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690175, 's': 'BTCUSDT', 't': 5245488127, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373690170, 'm': False, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488128, 'p': '115868.90000000', 'q': '0.00010000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488129, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488130, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488131, 'p': '115868.90000000', 'q': '0.00260000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488132, 'p': '115868.90000000', 'q': '0.00075000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488133, 'p': '115868.90000000', 'q': '0.00076000', 'T': 1758373690175, 'm': True, 'M': True}
