,info,symbol,timestamp,datetime,timeframe,longShortRatio
66,"{'symbol': 'BTCUSDT', 'longAccount': '0.6553', 'longShortRatio': '1.9011', 'shortAccount': '0.3447', 'timestamp': '1757218800000'}",BTC/USDT:USDT,1757218800000,2025-09-07T04:20:00.000Z,,1.9011
67,"{'symbol': 'BTCUSDT', 'longAccount': '0.6552', 'longShortRatio': '1.9002', 'shortAccount': '0.3448', 'timestamp': '1757219100000'}",BTC/USDT:USDT,1757219100000,2025-09-07T04:25:00.000Z,,1.9002
68,"{'symbol': 'BTCUSDT', 'longAccount': '0.6552', 'longShortRatio': '1.9002', 'shortAccount': '0.3448', 'timestamp': '1757219400000'}",BTC/USDT:USDT,1757219400000,2025-09-07T04:30:00.000Z,,1.9002
69,"{'symbol': 'BTCUSDT', 'longAccount': '0.6549', 'longShortRatio': '1.8977', 'shortAccount': '0.3451', 'timestamp': '1757219700000'}",BTC/USDT:USDT,1757219700000,2025-09-07T04:35:00.000Z,,1.8977
70,"{'symbol': 'BTCUSDT', 'longAccount': '0.6546', 'longShortRatio': '1.8952', 'shortAccount': '0.3454', 'timestamp': '1757220000000'}",BTC/USDT:USDT,1757220000000,2025-09-07T04:40:00.000Z,,1.8952
71,"{'symbol': 'BTCUSDT', 'longAccount': '0.6541', 'longShortRatio': '1.8910', 'shortAccount': '0.3459', 'timestamp': '1757220300000'}",BTC/USDT:USDT,1757220300000,2025-09-07T04:45:00.000Z,,1.891
72,"{'symbol': 'BTCUSDT', 'longAccount': '0.6545', 'longShortRatio': '1.8944', 'shortAccount': '0.3455', 'timestamp': '1757220600000'}",BTC/USDT:USDT,1757220600000,2025-09-07T04:50:00.000Z,,1.8944
73,"{'symbol': 'BTCUSDT', 'longAccount': '0.6546', 'longShortRatio': '1.8952', 'shortAccount': '0.3454', 'timestamp': '1757220900000'}",BTC/USDT:USDT,1757220900000,2025-09-07T04:55:00.000Z,,1.8952
74,"{'symbol': 'BTCUSDT', 'longAccount': '0.6548', 'longShortRatio': '1.8969', 'shortAccount': '0.3452', 'timestamp': '1757221200000'}",BTC/USDT:USDT,1757221200000,2025-09-07T05:00:00.000Z,,1.8969
75,"{'symbol': 'BTCUSDT', 'longAccount': '0.6549', 'longShortRatio': '1.8977', 'shortAccount': '0.3451', 'timestamp': '1757221500000'}",BTC/USDT:USDT,1757221500000,2025-09-07T05:05:00.000Z,,1.8977
